product_names,Price,Discount,link
CHUWI Intel Celeron Quad Core 12th Gen N100 - (8 GB/256 GB SSD/Windows 11 Home) GemiBook X_Pro Laptop,18990.0,45% off,https://www.flipkart.com/chuwi-intel-celeron-quad-core-12th-gen-n100-8-gb-256-gb-ssd-windows-11-home-gemibook-x-pro-laptop/p/itm95998eabab6f9?pid=COMGVBZBDZJXUZFC&lid=LSTCOMGVBZBDZJXUZFCFYZTJO&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_11&otracker=AS_Query_TrendingAutoSuggest_4_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_4_0_na_na_na&fm=organic&iid=en_cwZYzM3pJOLiNViyyGzPqtwU3Y-_ILBn6DVmy5386f8owmI9Q8JScX0kZdqBU3TxI80SPUeRA0e1bAuH49COww%3D%3D&ppt=None&ppn=None&ssid=ajtgr05nyo0000001714327558538&qH=c06ea84a1e3dc3c6
CHUWI Intel Celeron Dual Core 11th Gen N4020 - (8 GB/256 GB SSD/Windows 11 Home) HeroBook Plus Laptop,18990.0,52% off,https://www.flipkart.com/chuwi-intel-celeron-dual-core-11th-gen-n4020-8-gb-256-gb-ssd-windows-11-home-herobook-plus-laptop/p/itm9002f3d92e61f?pid=COMGYAM9KS83NEPS&lid=LSTCOMGYAM9KS83NEPSPOX0OT&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_12&otracker=AS_Query_TrendingAutoSuggest_4_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_4_0_na_na_na&fm=organic&iid=en_cwZYzM3pJOLiNViyyGzPqtwU3Y-_ILBn6DVmy5386f_d3QmkquvnIzuwjdu5Y343wQEkp6JqBgx25ylbP_f-LA%3D%3D&ppt=None&ppn=None&ssid=ajtgr05nyo0000001714327558538&qH=c06ea84a1e3dc3c6
DELL Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) New Inspiron 15 Laptop Thin and ...,34990.0,29% off,https://www.flipkart.com/dell-intel-core-i3-12th-gen-1215u-8-gb-512-gb-ssd-windows-11-home-new-inspiron-15-laptop-thin-light/p/itm06ea674a3bd5b?pid=COMGJ75HCCFJS8AE&lid=LSTCOMGJ75HCCFJS8AELVN77K&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_13&otracker=AS_Query_TrendingAutoSuggest_4_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_4_0_na_na_na&fm=organic&iid=4b818dcf-05ec-450b-acd7-a6fda4cf2eb8.COMGJ75HCCFJS8AE.SEARCH&ppt=None&ppn=None&ssid=ajtgr05nyo0000001714327558538&qH=c06ea84a1e3dc3c6
Lenovo V15 AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) V15 G4 AMN 1 Thin and Light...,27990.0,28% off,https://www.flipkart.com/lenovo-v15-amd-ryzen-3-quad-core-7320u-8-gb-512-gb-ssd-windows-11-home-g4-amn-1-thin-light-laptop/p/itm5819401743e27?pid=COMGPYKZAWY8UX6C&lid=LSTCOMGPYKZAWY8UX6CSCLSXL&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_14&otracker=AS_Query_TrendingAutoSuggest_4_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_4_0_na_na_na&fm=organic&iid=4b818dcf-05ec-450b-acd7-a6fda4cf2eb8.COMGPYKZAWY8UX6C.SEARCH&ppt=None&ppn=None&ssid=ajtgr05nyo0000001714327558538&qH=c06ea84a1e3dc3c6
HP 245G9 AMD Ryzen 3 Dual Core AMD Ryzen 3 3250U - (8 GB/512 GB SSD/Windows 11 Home) 245 G8 Business L...,25999.0,35% off,https://www.flipkart.com/hp-245g9-amd-ryzen-3-dual-core-3250u-8-gb-512-gb-ssd-windows-11-home-245-g8-business-laptop/p/itmf0a680c05d471?pid=COMGHNBG4KF5UYJH&lid=LSTCOMGHNBG4KF5UYJH3HAIIQ&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_15&otracker=AS_Query_TrendingAutoSuggest_4_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_4_0_na_na_na&fm=organic&iid=4b818dcf-05ec-450b-acd7-a6fda4cf2eb8.COMGHNBG4KF5UYJH.SEARCH&ppt=None&ppn=None&ssid=ajtgr05nyo0000001714327558538&qH=c06ea84a1e3dc3c6
HP 255 G9 AMD Ryzen 3 Dual Core R3 3250 - (8 GB/512 GB SSD/Windows 11 Home) 255 G8 Business Laptop,25999.0,35% off,https://www.flipkart.com/hp-255-g9-amd-ryzen-3-dual-core-r3-3250-8-gb-512-gb-ssd-windows-11-home-g8-business-laptop/p/itm9015dcea94ace?pid=COMGNFU7MHGWNHHA&lid=LSTCOMGNFU7MHGWNHHAOLIHEI&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_16&otracker=AS_Query_TrendingAutoSuggest_4_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_4_0_na_na_na&fm=organic&iid=4b818dcf-05ec-450b-acd7-a6fda4cf2eb8.COMGNFU7MHGWNHHA.SEARCH&ppt=None&ppn=None&ssid=ajtgr05nyo0000001714327558538&qH=c06ea84a1e3dc3c6
AXL Intel Celeron Dual Core - (4 GB/256 GB SSD/Windows 11 Home) 15W_LAP02 Thin and Light Laptop,16990.0,50% off,https://www.flipkart.com/axl-intel-celeron-dual-core-4-gb-256-gb-ssd-windows-11-home-15w-lap02-thin-light-laptop/p/itm50377e8d175f3?pid=COMGTFYWGDHXDKWN&lid=LSTCOMGTFYWGDHXDKWN1UQRIH&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_17&otracker=AS_Query_TrendingAutoSuggest_4_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_4_0_na_na_na&fm=organic&iid=en_cwZYzM3pJOLiNViyyGzPqtwU3Y-_ILBn6DVmy5386f_dGEpikcUmymkCMbapbRT-tbV_moitGI2MnpilqdESyA%3D%3D&ppt=None&ppn=None&ssid=ajtgr05nyo0000001714327558538&qH=c06ea84a1e3dc3c6
CHUWI Intel Celeron Quad Core 12th Gen N100 - (8 GB/256 GB SSD/Windows 11 Home) GemiBook Plus Laptop,22990.0,48% off,https://www.flipkart.com/chuwi-intel-celeron-quad-core-12th-gen-n100-8-gb-256-gb-ssd-windows-11-home-gemibook-plus-laptop/p/itm1a0b8c551a8e1?pid=COMGVGD39MWGVFXH&lid=LSTCOMGVGD39MWGVFXH7GJDZ8&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_18&otracker=AS_Query_TrendingAutoSuggest_4_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_4_0_na_na_na&fm=organic&iid=en_cwZYzM3pJOLiNViyyGzPqtwU3Y-_ILBn6DVmy5386f8m_73rti8Iil2ZVR7Ujq1cj05uXF9IK7TKDQsq3rMvtA%3D%3D&ppt=None&ppn=None&ssid=ajtgr05nyo0000001714327558538&qH=c06ea84a1e3dc3c6
DELL Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) New Inspiron 15 Laptop Thin and ...,35490.0,33% off,https://www.flipkart.com/dell-intel-core-i3-12th-gen-1215u-8-gb-512-gb-ssd-windows-11-home-new-inspiron-15-laptop-thin-light/p/itm2d6ee1804748f?pid=COMGJ75HJGFDJ6JN&lid=LSTCOMGJ75HJGFDJ6JN2ECJ8S&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_19&otracker=AS_Query_TrendingAutoSuggest_4_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_4_0_na_na_na&fm=organic&iid=4b818dcf-05ec-450b-acd7-a6fda4cf2eb8.COMGJ75HJGFDJ6JN.SEARCH&ppt=None&ppn=None&ssid=ajtgr05nyo0000001714327558538&qH=c06ea84a1e3dc3c6
HP AMD Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15s- eq2223AU Thin and Light Laptop,37990.0,23% off,https://www.flipkart.com/hp-amd-ryzen-5-hexa-core-5500u-8-gb-512-gb-ssd-windows-11-home-15s-eq2223au-thin-light-laptop/p/itmefcc6dfb06c44?pid=COMGZ7FRUHRF8AA3&lid=LSTCOMGZ7FRUHRF8AA37UYO5E&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_20&otracker=AS_Query_TrendingAutoSuggest_4_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_4_0_na_na_na&fm=organic&iid=4b818dcf-05ec-450b-acd7-a6fda4cf2eb8.COMGZ7FRUHRF8AA3.SEARCH&ppt=None&ppn=None&ssid=ajtgr05nyo0000001714327558538&qH=c06ea84a1e3dc3c6
DELL Vostro 3420 Business Laptop Intel Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 3420 Busin...,39990.0,42% off,https://www.flipkart.com/dell-vostro-3420-business-laptop-intel-core-i5-11th-gen-8-gb-512-gb-ssd-windows-11-home/p/itm9e0bde3e72880?pid=COMGQHHTKQCMWKHZ&lid=LSTCOMGQHHTKQCMWKHZBHQ2Q7&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&spotlightTagId=TrendingId_6bo%2Fb5g&srno=s_1_21&otracker=AS_Query_TrendingAutoSuggest_4_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_4_0_na_na_na&fm=organic&iid=4b818dcf-05ec-450b-acd7-a6fda4cf2eb8.COMGQHHTKQCMWKHZ.SEARCH&ppt=None&ppn=None&ssid=ajtgr05nyo0000001714327558538&qH=c06ea84a1e3dc3c6
ZEBRONICS Thin and Light Laptop Intel Core i7 12th Gen 1255U - (16 GB/1 TB SSD/Windows 11 Home) ZEB-NB...,43990.0,46% off,https://www.flipkart.com/zebronics-thin-light-laptop-intel-core-i7-12th-gen-1255u-16-gb-1-tb-ssd-windows-11-home-zeb-nbc-5s/p/itmb605901c4d2a7?pid=COMGTGFGE6CCV92G&lid=LSTCOMGTGFGE6CCV92G92WPYU&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_22&otracker=AS_Query_TrendingAutoSuggest_4_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_4_0_na_na_na&fm=organic&iid=4b818dcf-05ec-450b-acd7-a6fda4cf2eb8.COMGTGFGE6CCV92G.SEARCH&ppt=None&ppn=None&ssid=ajtgr05nyo0000001714327558538&qH=c06ea84a1e3dc3c6
ASUS Vivobook 15 Intel Core i3 12th Gen 1215U - (16 GB/512 GB SSD/Windows 11 Home) X1502ZA-EJ993WS Thi...,41990.0,28% off,https://www.flipkart.com/asus-vivobook-15-intel-core-i3-12th-gen-1215u-16-gb-512-gb-ssd-windows-11-home-x1502za-ej993ws-thin-light-laptop/p/itmf8b65b51db349?pid=COMGS7M3HHJQYVKB&lid=LSTCOMGS7M3HHJQYVKBRTO2VL&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_23&otracker=AS_Query_TrendingAutoSuggest_4_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_4_0_na_na_na&fm=organic&iid=4b818dcf-05ec-450b-acd7-a6fda4cf2eb8.COMGS7M3HHJQYVKB.SEARCH&ppt=None&ppn=None&ssid=ajtgr05nyo0000001714327558538&qH=c06ea84a1e3dc3c6
ASUS Vivobook 15 Intel Core i3 11th Gen 1115G4 - (8 GB/256 GB SSD/Windows 11 Home) X1500EA-EJ311W Thin...,29990.0,33% off,https://www.flipkart.com/asus-vivobook-15-intel-core-i3-11th-gen-1115g4-8-gb-256-gb-ssd-windows-11-home-x1500ea-ej311w-thin-light-laptop/p/itmcc87b88b4d7bf?pid=COMGS7M36HZBHH5R&lid=LSTCOMGS7M36HZBHH5RNHNWTN&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_24&otracker=AS_Query_TrendingAutoSuggest_4_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_4_0_na_na_na&fm=organic&iid=4b818dcf-05ec-450b-acd7-a6fda4cf2eb8.COMGS7M36HZBHH5R.SEARCH&ppt=None&ppn=None&ssid=ajtgr05nyo0000001714327558538&qH=c06ea84a1e3dc3c6
